series,custom name,total count
Mercedes-Benz/C-Class,# of stigs,7
Subaru/Impreza,# of stigs,7
Toyota/Corolla Hybrid,# of stigs,7
Toyota/Highlander,# of stigs,7
Toyota/Prius,# of stigs,7
Volkswagen/,# of stigs,7
Volkswagen/T-Roc,# of stigs,7
Audi/Q5,# of stigs,6
BYD/Atto 3,# of stigs,6
Honda/Pilot,# of stigs,6
Hyundai/Kona Electric,# of stigs,6
Hyundai/Tucson Hybrid,# of stigs,6
Hyundai/i30,# of stigs,6
Kia/Optima,# of stigs,6
Nissan/Altima,# of stigs,6
Nissan/Qashqai,# of stigs,6
Toyota/Yaris,# of stigs,6
Unknown/Unknown,# of stigs,6
Volkswagen/Passat,# of stigs,6
Škoda/Octavia,# of stigs,6
Audi/A6,# of stigs,5
Audi/Q7,# of stigs,5
BMW/i4,# of stigs,5
Chevrolet/Equinox,# of stigs,5
Cupra/Born,# of stigs,5
Ford/F-250,# of stigs,5
Ford/Maverick,# of stigs,5
GMC/Canyon,# of stigs,5
Hyundai/i20,# of stigs,5
Jeep/Wrangler 4xe,# of stigs,5
Kia/Seltos,# of stigs,5
Kia/Telluride,# of stigs,5
Mazda/2,# of stigs,5
Nissan/Kicks,# of stigs,5
Subaru/WRX,# of stigs,5
Toyota/Prius Prime,# of stigs,5
Acura/RDX,# of stigs,4
Audi/A3 e-tron,# of stigs,4
Audi/A5,# of stigs,4
Audi/Q3,# of stigs,4
Audi/SQ5,# of stigs,4
BMW/4 Series,# of stigs,4
BMW/i3,# of stigs,4
Chevrolet/Colorado,# of stigs,4
Chevrolet/Tahoe,# of stigs,4
Chevrolet/Trailblazer,# of stigs,4
Chrysler/300,# of stigs,4
Chrysler/Pacifica,# of stigs,4
Citroën/C3,# of stigs,4
Dodge/Challenger,# of stigs,4
Ford/Bronco,# of stigs,4
Ford/F-350,# of stigs,4
Ford/Kuga,# of stigs,4
Genesis/G80,# of stigs,4
Hyundai/Venue,# of stigs,4
Jeep/Cherokee,# of stigs,4
Jeep/Patriot,# of stigs,4
Kia/Soul,# of stigs,4
Kia/Sportage,# of stigs,4
Kia/Stinger,# of stigs,4
Mazda/CX-9,# of stigs,4
Mercedes-Benz/G-Class,# of stigs,4
Peugeot/308,# of stigs,4
Renault/Megane,# of stigs,4
Seat/Ibiza,# of stigs,4
Suzuki/Swift,# of stigs,4
Toyota/RAV4 Prime,# of stigs,4
Vauxhall/Opel/Astra,# of stigs,4
Volvo/XC90,# of stigs,4
Acura/MDX,# of stigs,3
Alfa Romeo/Giulia,# of stigs,3
Audi/S3,# of stigs,3
Audi/S5,# of stigs,3
BMW/3 Series eDrive,# of stigs,3
BMW/4 Series Gran Coupe,# of stigs,3
BMW/M3,# of stigs,3
BMW/X1,# of stigs,3
BMW/iX3,# of stigs,3
Chevrolet/Cruze,# of stigs,3
Chevrolet/Traverse,# of stigs,3
Chevrolet/Trax,# of stigs,3
Cupra/Formentor,# of stigs,3
Ford/Bronco Sport,# of stigs,3
Ford/Fusion Energi,# of stigs,3
Ford/Taurus,# of stigs,3
Ford/Transit Connect,# of stigs,3
Genesis/G70,# of stigs,3
Hyundai/Ioniq Electric,# of stigs,3
Hyundai/Ioniq Hybrid,# of stigs,3
Hyundai/Veloster,# of stigs,3
Hyundai/i10,# of stigs,3
Jeep/Gladiator,# of stigs,3
Kia/Ceed,# of stigs,3
Kia/Cerato,# of stigs,3
Kia/K4,# of stigs,3
Lexus/GX 460,# of stigs,3
MG/ZS,# of stigs,3
Mazda/CX-50,# of stigs,3
Mazda/CX-90,# of stigs,3
Mazda/Mazdaspeed 3,# of stigs,3
Mitsubishi/Outlander,# of stigs,3
Peugeot/3008,# of stigs,3
Ram/2500,# of stigs,3
Subaru/BRZ,# of stigs,3
Toyota/Camry Hybrid,# of stigs,3
Toyota/Corolla Hatchback,# of stigs,3
Toyota/Grand Highlander,# of stigs,3
Toyota/Sienna,# of stigs,3
Toyota/Sienna Hybrid,# of stigs,3
Toyota/Venza,# of stigs,3
Toyota/Yaris Cross,# of stigs,3
Volkswagen/Jetta GLI,# of stigs,3
Volkswagen/T-Cross,# of stigs,3
Volkswagen/Taos,# of stigs,3
Volkswagen/e-Golf,# of stigs,3
Volvo/S60,# of stigs,3
Volvo/V50,# of stigs,3
Škoda/Enyaq,# of stigs,3
Alfa Romeo/Giulietta,# of stigs,2
Audi/A1,# of stigs,2
Audi/RS 3,# of stigs,2
Audi/S4,# of stigs,2
Audi/TT,# of stigs,2
Audi/e-tron,# of stigs,2
BMW/328i,# of stigs,2
BMW/330e,# of stigs,2
BMW/440i,# of stigs,2
BMW/X2,# of stigs,2
BMW/Z4,# of stigs,2
BMW/iX,# of stigs,2
Buick/Encore,# of stigs,2
Buick/LaCrosse,# of stigs,2
Cadillac/Escalade,# of stigs,2
Chevrolet/Camaro,# of stigs,2
Chevrolet/Impala,# of stigs,2
Chevrolet/Silverado,# of stigs,2
Citroën/C4,# of stigs,2
Cupra/Leon,# of stigs,2
Dacia/Sandero III,# of stigs,2
Dodge/Ram 1500,# of stigs,2
FIAT/500X,# of stigs,2
Ford/EcoSport,# of stigs,2
Ford/Expedition,# of stigs,2
Ford/Focus ST,# of stigs,2
GMC/Terrain,# of stigs,2
GMC/Yukon,# of stigs,2
Genesis/GV80,# of stigs,2
Honda/,# of stigs,2
Honda/Accord Hybrid,# of stigs,2
Honda/Clarity,# of stigs,2
Honda/Fit,# of stigs,2
Honda/Pliot,# of stigs,2
Honda/Ridgeline,# of stigs,2
Honda/ZR-V,# of stigs,2
Hyundai/Santa Cruz,# of stigs,2
Jaguar/I-PACE,# of stigs,2
Kia/Carnival,# of stigs,2
Kia/Niro EV,# of stigs,2
Kia/Rio,# of stigs,2
Kia/Sportage 3,# of stigs,2
Land Rover/Range Rover Evoque,# of stigs,2
Lexus/GX,# of stigs,2
Lexus/IS 250,# of stigs,2
Lexus/IS 300,# of stigs,2
Lexus/IS 350,# of stigs,2
Lexus/UX,# of stigs,2
Lucid/Air,# of stigs,2
MG/ZS EV,# of stigs,2
Mazda/6,# of stigs,2
Mazda/Mazda3,# of stigs,2
Mercedes-Benz/,# of stigs,2
Mercedes-Benz/A 180,# of stigs,2
Mercedes-Benz/E-Class,# of stigs,2
Mercedes-Benz/GLC-Class,# of stigs,2
Mitsubishi/ASX,# of stigs,2
Nissan/350Z,# of stigs,2
Nissan/370Z,# of stigs,2
Nissan/ARIYA,# of stigs,2
Nissan/Maxima,# of stigs,2
Nissan/X-Trail,# of stigs,2
OPEL/,# of stigs,2
OPEL/Insignia,# of stigs,2
Perodua/Myvi,# of stigs,2
Peugeot/2008,# of stigs,2
Porsche/CAYMAN,# of stigs,2
Saab/9-5,# of stigs,2
Subaru/Legacy,# of stigs,2
Subaru/Solterra,# of stigs,2
Suzuki/Jimny,# of stigs,2
Toyota/Aqua,# of stigs,2
Toyota/Auris,# of stigs,2
Toyota/C-HR,# of stigs,2
Toyota/Corolla Cross,# of stigs,2
Toyota/Crown,# of stigs,2
Toyota/GR Supra,# of stigs,2
Toyota/Hilux,# of stigs,2
Toyota/Land Cruiser,# of stigs,2
Toyota/Sequoia,# of stigs,2
Toyota/bZ4X,# of stigs,2
Vauxhall/Opel/Mokka,# of stigs,2
Volkswagen/Arteon,# of stigs,2
Volkswagen/CC,# of stigs,2
Volkswagen/Caddy,# of stigs,2
Volkswagen/Crafter,# of stigs,2
Volkswagen/ID.3,# of stigs,2
Volkswagen/Nivus,# of stigs,2
Volvo/XC40 Recharge,# of stigs,2
Volvo/XC60,# of stigs,2
Škoda/Fabia,# of stigs,2
Škoda/Superb,# of stigs,2
AUDIdi/Q3,# of stigs,1
Abarth/595,# of stigs,1
Acura/CL,# of stigs,1
Acura/TSX,# of stigs,1
Alfa Romeo/Giulia (952),# of stigs,1
Alfa Romeo/MiTo,# of stigs,1
Alfa Romeo/Tonale,# of stigs,1
Alpine/A110,# of stigs,1
Audi/Audi A5,# of stigs,1
Audi/Q2,# of stigs,1
Audi/Q4,# of stigs,1
Audi/Q8,# of stigs,1
Audi/RS 5,# of stigs,1
Audi/RS e-tron,# of stigs,1
Audi/S6,# of stigs,1
Audi/SQ2,# of stigs,1
Audi/SQ8,# of stigs,1
Audi/allroad,# of stigs,1
Audu/S6 Avant e-tron,# of stigs,1
BMW/1 Series M,# of stigs,1
BMW/118i,# of stigs,1
BMW/2 Series Gran Coupe,# of stigs,1
BMW/220i,# of stigs,1
BMW/318i,# of stigs,1
BMW/320d,# of stigs,1
BMW/325xi,# of stigs,1
BMW/335d Xdrive,# of stigs,1
BMW/335i,# of stigs,1
BMW/3er,# of stigs,1
BMW/5,# of stigs,1
BMW/520,# of stigs,1
BMW/520d,# of stigs,1
BMW/530,# of stigs,1
BMW/530e,# of stigs,1
BMW/530i,# of stigs,1
BMW/530i E39,# of stigs,1
BMW/530i xDrive,# of stigs,1
BMW/550i,# of stigs,1
BMW/E39,# of stigs,1
BMW/E46,# of stigs,1
BMW/F20,# of stigs,1
BMW/F31,# of stigs,1
BMW/G31,# of stigs,1
BMW/M135,# of stigs,1
BMW/M135i xDrive,# of stigs,1
BMW/M2,# of stigs,1
BMW/M240i,# of stigs,1
BMW/M440i,# of stigs,1
BMW/Série 1,# of stigs,1
BMW/X3 M,# of stigs,1
BMW/X5 45edrive,# of stigs,1
BMW/X7,# of stigs,1
BMW/i4 M50,# of stigs,1
BMW/iX2,# of stigs,1
BYD/Sealion 6,# of stigs,1
Bentley/Bentayga,# of stigs,1
Buick/Encore GX,# of stigs,1
Buick/Envision,# of stigs,1
Buick/Envista,# of stigs,1
Buick/Regal,# of stigs,1
Cadillac/CTS,# of stigs,1
Cadillac/LYRIQ,# of stigs,1
Cadillac/XT5,# of stigs,1
Changan/Uni-K,# of stigs,1
Chery/Tiggo 7 Pro,# of stigs,1
Chery/Tiggo 8,# of stigs,1
Chevrolet/Aveo,# of stigs,1
Chevrolet/Captiva,# of stigs,1
Chevrolet/Cobalt,# of stigs,1
Chevrolet/Corvette,# of stigs,1
Chevrolet/Matiz,# of stigs,1
Chevrolet/Montana,# of stigs,1
Chevrolet/S-10,# of stigs,1
Chevrolet/Silverado 2500,# of stigs,1
Chevrolet/Sonic,# of stigs,1
Chevrolet/Spark,# of stigs,1
Chevrolet/Suburban,# of stigs,1
Chevrolet/Tracker,# of stigs,1
Chevrolet/Volt,# of stigs,1
Chrysler/200,# of stigs,1
Chrysler/Pacifica Hybrid,# of stigs,1
Citroën/E-C4,# of stigs,1
Dacia/Duster II,# of stigs,1
Dacia/Lodgy,# of stigs,1
Dacia/Logan,# of stigs,1
Dacia/Spring,# of stigs,1
Daewoo/Cruze,# of stigs,1
Dodge/Dakota,# of stigs,1
Dodge/Dart,# of stigs,1
Dodge/Durango,# of stigs,1
Dodge/Grand Caravan,# of stigs,1
Dodge/Hornet,# of stigs,1
Eagle/,# of stigs,1
FIAT/500,# of stigs,1
FIAT/500e,# of stigs,1
FIAT/Fastback ,# of stigs,1
FIAT/Panda,# of stigs,1
FIAT/Pulse,# of stigs,1
FIAT/Punto,# of stigs,1
Ford/,# of stigs,1
Ford/C-Max Hybrid,# of stigs,1
Ford/Capri,# of stigs,1
Ford/Crown Victoria,# of stigs,1
Ford/E-Series Van,# of stigs,1
Ford/Everest,# of stigs,1
Ford/Puma,# of stigs,1
Ford/S-Max,# of stigs,1
GMC/Sierra,# of stigs,1
GMC/Sierra 1500 Limited,# of stigs,1
GMC/Sierra 2500HD,# of stigs,1
Genesis/Electrified GV70,# of stigs,1
Genesis/GV70,# of stigs,1
Great Wall/Ute,# of stigs,1
HARLEY-DAVIDSON/Electra Glide Ultra Classic,# of stigs,1
Haval/Jolion,# of stigs,1
Haval/Jolion HEV,# of stigs,1
Holden/Calais V,# of stigs,1
Honda/Brio,# of stigs,1
Honda/CITY HATCHBACK e:HEV,# of stigs,1
Honda/City,# of stigs,1
Honda/Civic Hatchback,# of stigs,1
Honda/Civic Type R,# of stigs,1
Honda/Element,# of stigs,1
Honda/Insight,# of stigs,1
Honda/NC700X,# of stigs,1
Honda/Odyssey,# of stigs,1
Honda/Passport,# of stigs,1
Honda/Vezel,# of stigs,1
Hyundai/Accent,# of stigs,1
Hyundai/Ioniq,# of stigs,1
Hyundai/Palisade,# of stigs,1
Hyundai/Santa Fe Hybrid,# of stigs,1
Jaguar/F-TYPE,# of stigs,1
Jeep/Avenger,# of stigs,1
Jeep/Commander,# of stigs,1
Jeep/Grand Cherokee L,# of stigs,1
Jeep/Liberty,# of stigs,1
Jeep/Renegade,# of stigs,1
Jeep/Wrangler JK,# of stigs,1
Kia/Carens 3,# of stigs,1
Kia/Carnival / Sedona,# of stigs,1
Kia/EV5,# of stigs,1
Kia/Niro 2,# of stigs,1
Kia/Niro 3,# of stigs,1
Kia/Picanto 1.2,# of stigs,1
Kia/Rio 4,# of stigs,1
Kia/Sedona,# of stigs,1
Kia/Sonet,# of stigs,1
Kia/Sportage 4,# of stigs,1
Kia/Sportage PHEV,# of stigs,1
Land Rover/,# of stigs,1
Land Rover/Defender,# of stigs,1
Land Rover/Discovery Sport,# of stigs,1
Lexus/ES 300h,# of stigs,1
Lexus/ES 350,# of stigs,1
Lexus/IS 200t,# of stigs,1
Lexus/IS 500,# of stigs,1
Lexus/LS,# of stigs,1
Lexus/LX 570,# of stigs,1
Lexus/RX,# of stigs,1
Lexus/RX 500h,# of stigs,1
Lincoln/Nautilus,# of stigs,1
Lincoln/Navigator,# of stigs,1
Lynk & Co/01,# of stigs,1
MG/Hector,# of stigs,1
MG/One,# of stigs,1
MINI/Cooper SE,# of stigs,1
MINI/Hardtop,# of stigs,1
MINI/One,# of stigs,1
Ma/Outback,# of stigs,1
Mazda/B-Series Pickup,# of stigs,1
Mazda/MX-5 Miata,# of stigs,1
Mazda/Mazdaspeed MX-5 Miata,# of stigs,1
Mercedes-Benz/A 160,# of stigs,1
Mercedes-Benz/A 200,# of stigs,1
Mercedes-Benz/A-Klasse,# of stigs,1
Mercedes-Benz/B 200,# of stigs,1
Mercedes-Benz/C,# of stigs,1
Mercedes-Benz/C 200,# of stigs,1
Mercedes-Benz/C 220,# of stigs,1
Mercedes-Benz/C 350,# of stigs,1
Mercedes-Benz/C 63 AMG,# of stigs,1
Mercedes-Benz/C230 Kompressor,# of stigs,1
Mercedes-Benz/CLA 200,# of stigs,1
Mercedes-Benz/CLA-Class,# of stigs,1
Mercedes-Benz/E 350,# of stigs,1
"Mercedes-Benz/E Class, W213, 2017",# of stigs,1
Mercedes-Benz/E300,# of stigs,1
Mercedes-Benz/EQB,# of stigs,1
Mercedes-Benz/EQE,# of stigs,1
Mercedes-Benz/EQE 43,# of stigs,1
Mercedes-Benz/GLB 250,# of stigs,1
Mercedes-Benz/GLb,# of stigs,1
Mercedes-Benz/M-Class,# of stigs,1
Mercedes-Benz/Ml63 ,# of stigs,1
Mercedes-Benz/S-Class,# of stigs,1
Mercedes-Benz/W212/E300,# of stigs,1
Mitsubishi/Eclipse,# of stigs,1
Mitsubishi/Lancer,# of stigs,1
Mitsubishi/Outlander PHEV,# of stigs,1
Mitsubishi/Outlander Sport,# of stigs,1
Nissan/300ZX,# of stigs,1
Nissan/Frontier,# of stigs,1
Nissan/Navara,# of stigs,1
Nissan/Versa,# of stigs,1
OPEL/Astra H,# of stigs,1
OPEL/Astra K,# of stigs,1
Opel/Astra,# of stigs,1
Opel/Mokka,# of stigs,1
Ora/Funky Cat,# of stigs,1
P/E,# of stigs,1
Perodua/Bezza,# of stigs,1
Peugeot/,# of stigs,1
Peugeot/206,# of stigs,1
Peugeot/207,# of stigs,1
Peugeot/208 GTI,# of stigs,1
Peugeot/308 Hybrid,# of stigs,1
Peugeot/408,# of stigs,1
Peugeot/505,# of stigs,1
Peugeot/Boxer 335,# of stigs,1
Peugeot/Expert,# of stigs,1
Polestar/,# of stigs,1
Polestar/3,# of stigs,1
Porsche/911,# of stigs,1
Porsche/Panamera,# of stigs,1
Renault/Captur,# of stigs,1
Renault/Clio,# of stigs,1
Renault/Duster,# of stigs,1
Renault/Koleos,# of stigs,1
Renault/Laguna III GT,# of stigs,1
Renault/Sandero,# of stigs,1
Renault/Scenic E-Tech,# of stigs,1
Renault/Trafic,# of stigs,1
Renault/Zoe,# of stigs,1
Scion/FR-S,# of stigs,1
Scion/tC,# of stigs,1
Seat/Ateca,# of stigs,1
Seat/Leon 5F,# of stigs,1
Seat/Leon SC,# of stigs,1
Skoda/Slavia,# of stigs,1
Skoda/Superb 3V,# of stigs,1
Subaru/Ascent,# of stigs,1
Subaru/Tribeca,# of stigs,1
Subaru/XV Crosstrek,# of stigs,1
Suzuki/Alto,# of stigs,1
Suzuki/Vitara,# of stigs,1
Tata/Nexon,# of stigs,1
Tesla/Model S,# of stigs,1
Toyota/Avalon,# of stigs,1
Toyota/Crown Hybrid,# of stigs,1
Toyota/FJ Cruiser,# of stigs,1
Toyota/Fortuner 2.4 4x2,# of stigs,1
Toyota/GR Corolla,# of stigs,1
Toyota/GR Yaris,# of stigs,1
Toyota/GR86,# of stigs,1
Toyota/GT86,# of stigs,1
Toyota/Grand Highlander Hybrid,# of stigs,1
Toyota/IS,# of stigs,1
Toyota/Idk,# of stigs,1
Toyota/Matrix,# of stigs,1
Toyota/Prius Plug-in,# of stigs,1
Toyota/Prius v,# of stigs,1
Toyota/Urban Cruiser,# of stigs,1
Toyota/Venza Hybrid,# of stigs,1
Toyota/Yaris iA,# of stigs,1
Toyota/iQ,# of stigs,1
VW/ID4,# of stigs,1
VW/Passat,# of stigs,1
Vauxhall/Opel/Crossland,# of stigs,1
Volkswagen/Amarok,# of stigs,1
Volkswagen/Atlas Cross Sport,# of stigs,1
Volkswagen/Fox,# of stigs,1
Volkswagen/GLI,# of stigs,1
Volkswagen/Gol,# of stigs,1
Volkswagen/Golf 6,# of stigs,1
Volkswagen/Golf GTI,# of stigs,1
Volkswagen/Golf Variant,# of stigs,1
Volkswagen/ID. Buzz,# of stigs,1
Volkswagen/ID.5,# of stigs,1
Volkswagen/ID7 Tourer,# of stigs,1
Volkswagen/New Beetle,# of stigs,1
Volkswagen/Passat B8,# of stigs,1
Volkswagen/Polo GTI,# of stigs,1
Volkswagen/R32,# of stigs,1
Volkswagen/Scirocco,# of stigs,1
Volkswagen/Touareg,# of stigs,1
Volkswagen/Touran,# of stigs,1
Volvo/,# of stigs,1
Volvo/C30,# of stigs,1
Volvo/EX30,# of stigs,1
Volvo/S60 PHEV,# of stigs,1
Volvo/S70,# of stigs,1
Volvo/S80,# of stigs,1
Volvo/S90,# of stigs,1
Volvo/V40,# of stigs,1
Volvo/V60,# of stigs,1
Volvo/V70,# of stigs,1
Volvo/V90,# of stigs,1
Volvo/V90 Cross Country,# of stigs,1
peugeot iran khodro/207,# of stigs,1
smart/1,# of stigs,1
smart/fortwo,# of stigs,1
Škoda/Kodiaq,# of stigs,1
